FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
0,Bengbu,32.940800000000003,117.360800000000000,44.399999999999999,1.7181300,122.1940002,15.1153002,61.3908005,10222.5996094,182.8059998,16.8766994,1581,29,-1169870.111430000000000,-263835.768168999990000
1,Chaohu,31.600000000000001,117.866699999999990,28.899999999999999,1.7212400,127.2910004,46.7966995,69.5291977,10226.0000000,178.2129974,17.6609993,2117,12,-1140491.590980000100000,-417506.261770999990000
2,Chizhou,30.661300000000001,117.477800000000000,20.800000000000001,1.1381100,142.3390045,65.2035980,70.7941971,10236.9003906,60.6986008,19.1601009,2512,24,-1188171.732980000100000,-516125.522792999980000
3,Chuzhou,32.321899999999999,118.297800000000000,48.299999999999997,1.8170600,130.1840057,43.6825981,67.6669998,10227.5996094,173.3399963,14.8817997,2463,22,-1091927.444010000000000,-342913.159963999990000
4,Datong,32.620800000000003,117.063199999999990,38.299999999999997,1.0464700,124.6679993,23.3903008,63.1132011,10223.9003906,186.8009949,16.9890003,4064,38,-1201264.272750000000000,-295459.811917999990000
5,Gushu,31.560500000000001,118.481500000000000,32.299999999999997,1.3064600,139.6239929,65.3255005,71.6843033,10229.5996094,128.7980042,10.9190998,2266,13,-1083963.510000000000000,-428871.509500999990000
6,Hefei,31.863900000000001,117.280800000000000,28.000000000000000,1.2757100,123.0130005,35.0752983,67.1251984,10221.0000000,249.6829987,19.9864998,1942,22,-1191280.157150000100000,-381449.387945000020000
7,Huaibei,33.974400000000003,116.791700000000010,30.000000000000000,1.3734000,115.3840027,-17.3337002,54.2951012,10214.7998047,259.9460144,11.1464996,1781,51,-1207152.385449999900000,-143029.055618999990000
8,Huainan,32.626399999999997,116.996900000000000,39.399999999999999,1.1553000,125.1110001,22.9104004,62.8488007,10223.9003906,185.2109985,16.8575993,2406,49,-1207239.336679999900000,-294024.184438999980000
9,Chengguanzhen,32.958900000000000,117.165700000000000,48.000000000000000,1.4320000,123.7409973,13.4736996,60.5042000,10222.2998047,182.9960022,16.5671997,2059,20,-1187384.505679999900000,-259482.908663000010000
10,Huangshan,29.711400000000001,118.312500000000000,14.800000000000001,1.4648800,116.6829987,70.4953003,81.2333984,10245.7001953,67.8041000,14.4115000,1786,134,-1120870.655120000000000,-630393.058920999990000
11,Lucheng,31.233599999999999,117.280600000000010,22.199999999999999,1.4984900,129.9160004,48.3503990,69.2200012,10228.5996094,161.8630066,18.0555992,2541,13,-1199372.180360000100000,-450789.000339000020000
12,Mingguang,32.780200000000001,117.963800000000010,47.399999999999999,1.1737100,121.2539978,25.3789005,64.6723022,10224.0996094,179.0350037,17.5041008,3105,15,-1116922.092450000100000,-288607.707440000030000
13,Suixi,33.890700000000002,116.774700000000000,30.300000000000001,0.9924420,117.9039993,-15.2349005,54.2281990,10215.0996094,247.8119965,11.6622000,2383,32,-1209866.933509999900000,-152037.907317000000000
14,Suzhou,33.636099999999999,116.978900000000000,44.200000000000003,1.5338100,119.4970016,-9.4513302,55.3437996,10216.5996094,226.3309937,13.0958996,1797,32,-1195056.577540000000000,-182602.631082000010000
15,Tangzhai,34.432800000000000,116.591100000000000,30.199999999999999,0.5556660,115.9130020,-23.2684002,52.6573982,10214.9003906,234.6860046,11.7868004,2359,46,-1218508.292309999900000,-90041.341666299995000
16,Wuhu,31.337299999999999,118.373500000000010,32.000000000000000,0.7880810,131.7500000,69.1436996,75.5192032,10230.0000000,25.4752007,12.5854998,2243,19,-1096597.235470000000000,-452248.043905999980000
17,Wusong,30.949999999999999,117.783300000000000,22.800000000000001,0.7552420,131.6349945,58.1081009,71.8436966,10232.4003906,85.5793991,17.4309998,1940,10,-1156151.801010000100000,-488054.893822000010000
18,Xuanzhou,30.952500000000001,118.755300000000010,28.100000000000001,1.0947700,130.6020050,70.9180984,76.5186996,10230.2998047,14.5067997,12.9925003,2539,27,-1065373.004149999900000,-498856.030266000020000
19,Changping,40.216099999999997,116.234700000000000,5.500000000000000,1.5868700,120.9950027,-120.7509995,31.9549999,10210.4003906,288.8710022,40.8974991,1710,66,-1157544.126620000000000,550489.810261999960000
20,Daxing,39.740299999999998,116.326899999999990,20.000000000000000,1.5262100,117.6880035,-116.1119995,33.1902008,10210.7001953,287.8840027,37.4435005,1845,43,-1157973.885300000000000,497188.413638999980000
21,Fangshan,39.686999999999998,115.996600000000000,17.399999999999999,1.2632200,102.6539993,-110.5429993,36.4949989,10217.4003906,283.4630127,36.8981018,1887,44,-1186310.830899999900000,495310.842985000000000
22,Liangxiang,39.735999999999997,116.132900000000010,18.100000000000001,1.6770800,110.1940002,-113.0230026,34.8511009,10213.9003906,285.8210144,37.5508995,1557,47,-1174157.238010000000000,499037.191068999990000
23,Mentougou,39.938200000000002,116.093100000000010,12.199999999999999,1.1926500,113.8860016,-116.1620026,33.7481003,10213.0996094,287.0520020,40.3410988,1723,112,-1173999.292440000000000,521701.226581000020000
24,Shunyi,40.121699999999997,116.647800000000000,5.600000000000000,1.0658100,130.8520050,-129.6349945,29.2528992,10207.0000000,289.9930115,39.9911995,1882,44,-1125010.669530000100000,535295.539415000010000
25,Tongzhou,39.904000000000003,116.661800000000000,10.300000000000001,0.9170750,128.9380035,-126.4219971,29.9829006,10207.4003906,289.8359985,39.6077003,1494,29,-1127442.935570000000000,511234.221848000020000
26,Botou,38.066699999999997,116.566599999999990,13.800000000000001,1.0845200,117.9970016,-91.9838028,37.3698997,10218.0000000,249.9949951,10.0011997,1170,18,-1165198.846739999900000,310403.507886999990000
27,Cangzhou,38.316699999999997,116.866699999999990,16.800000000000001,0.8274220,113.8990021,-88.0021973,38.8133011,10217.2998047,248.1119995,11.6195002,1188,11,-1135726.174420000100000,334368.377554000010000
28,Changli,39.704200000000000,119.150600000000000,35.000000000000000,1.2545400,90.0808029,-92.2449036,42.2900009,10199.4003906,254.6609955,12.8737001,1069,18,-922563.686736000000000,463076.551549999970000
29,Chengde,40.951900000000002,117.958800000000000,10.199999999999999,1.4651500,66.9884033,-165.7420044,32.4245987,10204.0000000,290.0020142,20.0084991,1624,317,-1003756.353320000000000,612139.133171000050000
30,Fengrun,39.833300000000001,118.116699999999990,22.500000000000000,0.6668990,89.6280975,-104.4580002,39.8863983,10197.5000000,288.8869934,29.4209995,1705,28,-1007380.875410000000000,487529.738544000020000
31,Langfang,39.509700000000002,116.694700000000000,15.600000000000000,1.4328300,107.3180008,-102.6890030,37.1668015,10210.2998047,295.3989868,24.4277992,1591,17,-1131158.165850000000000,467545.871127000020000
32,Linxi,39.711799999999997,118.449500000000000,25.199999999999999,1.0683300,89.6521988,-100.5400009,40.6660004,10198.2001953,280.1889954,25.1728001,1325,45,-981287.856008999980000,470760.535632000010000
33,Qinhuangdao,39.931699999999999,119.588300000000000,44.299999999999997,0.5781370,74.2736969,-100.6859970,43.5657997,10202.9003906,260.9920044,17.7889996,1092,5,-882836.518334000020000,484099.270024000030000
34,Renqiu,38.698900000000002,116.093600000000000,17.300000000000001,1.2517999,106.8479996,-113.2429962,35.3370018,10218.5996094,253.3990021,18.8766994,1236,8,-1194941.899690000100000,385636.067327000030000
35,Shanhaiguan,40.002499999999998,119.748900000000010,39.899999999999999,1.3337400,70.5065994,-99.6719971,44.5419998,10203.7001953,257.9790039,18.1858997,1385,13,-868465.676281000020000,490461.744507000020000
36,Songling,40.292999999999999,118.269099999999990,21.100000000000001,1.4659100,73.5186005,-120.1510010,39.6692009,10203.4003906,284.1029968,23.1068993,2091,133,-987954.985893000030000,536546.011934999960000
37,Tangjiazhuang,39.743299999999998,118.450999999999990,25.699999999999999,1.5989600,89.3215027,-101.0380020,40.6260986,10198.2998047,280.4930115,25.2891006,1475,68,-980713.979442000040000,474213.854966000010000
38,Tangshan,39.633299999999998,118.183300000000000,21.899999999999999,1.3559200,89.9915009,-104.8079987,39.7518005,10197.0000000,289.8680115,29.9330997,1899,37,-1004726.436020000000000,464829.737559999980000
39,Zhaogezhuang,39.765400000000000,118.411900000000000,25.399999999999999,1.2342600,89.1808014,-102.1380005,40.4304008,10198.2001953,283.0950012,26.5552006,1290,62,-983673.281608000050000,477041.080980000030000
40,Baoying,33.229199999999999,119.309200000000000,53.500000000000000,1.1093600,116.0940018,37.0978012,69.8719025,10218.7001953,198.7079926,20.1371994,1999,6,-988573.759586000000000,-253595.110187999990000
41,City,31.646100000000001,120.742200000000000,40.299999999999997,1.2833600,96.8612976,55.9953995,83.0719986,10246.5000000,167.7070007,27.3693008,1940,10,-872499.590631000000000,-442119.325482000010000
42,Changzhou,31.773599999999998,119.953999999999990,60.200000000000003,1.6590900,119.8610001,67.7640991,79.1036987,10233.7001953,149.6569977,13.7547998,1558,6,-944751.048059999940000,-420697.053299000020000
43,Dazhong,33.199700000000000,120.457800000000010,52.799999999999997,1.5571300,124.1719971,61.1525002,75.2974014,10224.5996094,178.2899933,20.4589996,1846,5,-883704.921225999950000,-267886.083679999980000
44,Dongkan,33.999699999999997,119.830800000000000,55.000000000000000,1.0939400,113.0920029,4.3522401,60.7785988,10220.0996094,148.4839935,23.9267998,2147,5,-932488.776039000020000,-173598.682414999990000
45,Dongtai,32.852300000000000,120.309500000000000,53.899999999999999,0.7825710,126.9980011,77.9564972,80.2741013,10224.0000000,179.9989929,20.0002995,2065,7,-900852.514004000000000,-304929.854866000010000
46,Fengxian,34.703899999999997,116.587200000000000,31.600000000000001,1.2700900,115.7279968,-30.4543991,50.9213982,10215.7998047,171.6510010,13.7080002,2390,38,-1214888.887470000000000,-60132.761206800002000
47,Gaogou,34.017499999999998,119.188599999999990,55.600000000000001,0.8433010,115.0690002,20.1844997,64.8852997,10216.5996094,184.8150024,21.6350002,2953,6,-990489.728597000010000,-165297.027111000000000
48,Gaoyou,32.789299999999997,119.441800000000000,51.200000000000003,1.1209300,121.2720032,46.3305016,71.2561035,10225.2001953,176.3260040,19.2021008,1918,5,-981334.757631000010000,-303511.969546000010000
49,Guiren,33.669699999999999,118.188900000000000,60.899999999999999,1.0167201,115.1439972,14.0244999,63.0223007,10217.4003906,195.2089996,19.3623009,3641,22,-1085240.969070000100000,-193051.539277000000000
50,Haizhou,34.581699999999998,119.128900000000000,46.100000000000001,1.1121000,122.0790024,-24.4890995,50.9366989,10217.2001953,28.1644001,29.9374008,1658,10,-989226.309308000030000,-102356.431718000010000
51,Hede,33.772199999999998,120.261799999999990,54.899999999999999,0.8597540,112.8759995,16.1952991,64.3122025,10223.4003906,160.8190002,22.8586998,1910,2,-895742.599091000040000,-202794.145450999990000
52,Huai'an,33.588600000000000,119.019200000000000,59.200000000000003,1.2799500,115.0000000,48.4622993,73.9937973,10215.0000000,219.8150024,20.0042000,1675,14,-1010874.062350000000000,-210930.864777000010000
53,Huilong,31.811100000000000,121.655000000000000,25.600000000000001,1.1308100,90.5205002,62.9062004,88.2229004,10244.7001953,192.4750061,37.7652016,2101,7,-785715.497665000030000,-431654.741331000000000
54,Hutang,31.534300000000002,119.489999999999990,62.899999999999999,1.1890800,121.1780014,89.6917038,86.8609009,10233.0000000,140.2279968,10.0375996,5067,8,-990454.257109000000000,-442490.639929000000000
55,Jiangyan,32.506100000000004,120.142799999999990,57.200000000000003,1.1776000,124.8150024,67.2948990,77.2184982,10225.2001953,178.0010071,20.1350994,1897,9,-919755.568349999960000,-341624.896619000010000
56,Jiangyin,31.911000000000001,120.263000000000010,58.399999999999999,1.6494700,113.2170029,57.9043007,77.8877029,10235.5000000,161.1820068,19.5578995,1848,10,-914613.536207000030000,-408477.307786000020000
