FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
0,Bengbu,32.940800000000003,117.360800000000000,73.700000000000003,0.1368280,106.9850006,41.5312996,74.2759018,10233.0000000,199.8399963,19.9971008,1581,29,-1169870.111430000000000,-263835.768168999990000
1,Chaohu,31.600000000000001,117.866699999999990,43.899999999999999,0.1811340,108.1859970,56.3540993,79.0922012,10243.7001953,176.1100006,13.6276999,2117,12,-1140491.590980000100000,-417506.261770999990000
2,Chizhou,30.661300000000001,117.477800000000000,27.899999999999999,0.0001000,130.4299927,81.8140030,80.4588013,10252.5996094,115.3870010,10.6754999,2512,24,-1188171.732980000100000,-516125.522792999980000
3,Chuzhou,32.321899999999999,118.297800000000000,58.899999999999999,0.2540950,104.5940018,49.5974007,77.9178009,10239.4003906,201.8309937,15.0965004,2463,22,-1091927.444010000000000,-342913.159963999990000
4,Datong,32.620800000000003,117.063199999999990,60.700000000000003,0.2740730,107.1060028,38.8367996,73.3171997,10233.2998047,197.2920074,19.9533005,4064,38,-1201264.272750000000000,-295459.811917999990000
5,Gushu,31.560500000000001,118.481500000000000,43.100000000000001,0.1942320,109.5839996,69.5086975,83.4688034,10242.4003906,214.1399994,10.6260004,2266,13,-1083963.510000000000000,-428871.509500999990000
6,Hefei,31.863900000000001,117.280800000000000,53.799999999999997,0.4858370,108.6600037,46.0108986,75.2612991,10242.2001953,133.0780029,16.7105007,1942,22,-1191280.157150000100000,-381449.387945000020000
7,Huaibei,33.974400000000003,116.791700000000010,50.500000000000000,0.1547820,101.1389999,-12.0552998,59.3320999,10231.2001953,42.6176987,22.3962002,1781,51,-1207152.385449999900000,-143029.055618999990000
8,Huainan,32.626399999999997,116.996900000000000,58.500000000000000,0.2250050,107.2369995,37.7582016,72.9096985,10233.5000000,196.2299957,19.9487000,2406,49,-1207239.336679999900000,-294024.184438999980000
9,Chengguanzhen,32.958900000000000,117.165700000000000,78.900000000000006,0.0844458,106.9940033,40.8720016,74.0472031,10233.0000000,199.5590057,19.9979000,2059,20,-1187384.505679999900000,-259482.908663000010000
10,Huangshan,29.711400000000001,118.312500000000000,20.100000000000001,0.1241420,99.8124008,82.3610992,92.4385986,10267.9003906,225.2910004,12.7642002,1786,134,-1120870.655120000000000,-630393.058920999990000
11,Lucheng,31.233599999999999,117.280600000000010,33.899999999999999,0.3332840,119.9479980,65.5353012,78.2733002,10249.2001953,103.3789978,12.1359997,2541,13,-1199372.180360000100000,-450789.000339000020000
12,Mingguang,32.780200000000001,117.963800000000010,65.599999999999994,0.2755110,104.2269974,36.6069984,73.5054016,10234.2001953,197.3730011,19.2894993,3105,15,-1116922.092450000100000,-288607.707440000030000
13,Suixi,33.890700000000002,116.774700000000000,56.100000000000001,0.2898370,103.0940018,-9.7005997,59.4748993,10231.2001953,65.6222000,22.6877003,2383,32,-1209866.933509999900000,-152037.907317000000000
14,Suzhou,33.636099999999999,116.978900000000000,58.200000000000003,0.2031190,104.2679977,1.1893700,62.2873001,10232.0996094,110.3059998,21.0783005,1797,32,-1195056.577540000000000,-182602.631082000010000
15,Tangzhai,34.432800000000000,116.591100000000000,50.000000000000000,0.0054541,101.1940002,-17.5387993,57.7921982,10231.5996094,45.3263016,21.4130993,2359,46,-1218508.292309999900000,-90041.341666299995000
16,Wuhu,31.337299999999999,118.373500000000010,34.799999999999997,0.0563664,107.8280029,65.9553986,82.7746964,10243.7001953,202.7590027,11.6356001,2243,19,-1096597.235470000000000,-452248.043905999980000
17,Wusong,30.949999999999999,117.783300000000000,39.000000000000000,0.5597510,117.5839996,68.1905975,80.0635986,10250.2001953,141.5839996,12.3673000,1940,10,-1156151.801010000100000,-488054.893822000010000
18,Xuanzhou,30.952500000000001,118.755300000000010,32.700000000000003,0.9999590,103.6579971,68.1828995,85.1938019,10246.7998047,197.2579956,12.4506998,2539,27,-1065373.004149999900000,-498856.030266000020000
19,Changping,40.216099999999997,116.234700000000000,8.699999999999999,0.4307090,121.7669983,-116.2080002,32.5783005,10218.7001953,337.5459900,20.5231991,1710,66,-1157544.126620000000000,550489.810261999960000
20,Daxing,39.740299999999998,116.326899999999990,14.000000000000000,0.0001000,118.9609985,-111.7839966,33.7244987,10219.0000000,333.4370117,20.5520992,1845,43,-1157973.885300000000000,497188.413638999980000
21,Fangshan,39.686999999999998,115.996600000000000,14.000000000000000,0.9333480,108.1050034,-105.2129974,36.5746002,10221.4003906,321.8909912,21.8659000,1887,44,-1186310.830899999900000,495310.842985000000000
22,Liangxiang,39.735999999999997,116.132900000000010,13.400000000000000,0.2813950,114.5869980,-109.0029984,34.8676987,10220.0000000,328.9930115,21.1161003,1557,47,-1174157.238010000000000,499037.191068999990000
23,Mentougou,39.938200000000002,116.093100000000010,10.400000000000000,0.0085433,118.2890015,-113.0999985,33.6036987,10219.4003906,333.9140015,20.9668999,1723,112,-1173999.292440000000000,521701.226581000020000
24,Shunyi,40.121699999999997,116.647800000000000,8.000000000000000,0.0113380,124.9430008,-118.8629990,31.6984005,10218.0000000,339.9530029,20.0070000,1882,44,-1125010.669530000100000,535295.539415000010000
25,Tongzhou,39.904000000000003,116.661800000000000,11.699999999999999,0.9423020,124.1890030,-117.5380020,32.0163002,10218.0996094,339.1960144,20.0772991,1494,29,-1127442.935570000000000,511234.221848000020000
26,Botou,38.066699999999997,116.566599999999990,33.000000000000000,0.0747903,79.9998016,-93.9917984,43.8804016,10227.0000000,269.9979858,10.0002003,1170,18,-1165198.846739999900000,310403.507886999990000
27,Cangzhou,38.316699999999997,116.866699999999990,34.700000000000003,0.3300040,79.6365967,-89.8022995,44.8722000,10227.0000000,266.6530151,10.5084000,1188,11,-1135726.174420000100000,334368.377554000010000
28,Changli,39.704200000000000,119.150600000000000,32.399999999999999,0.9834780,76.3675995,-73.4723969,49.3488998,10201.2001953,248.3520050,10.7180996,1069,18,-922563.686736000000000,463076.551549999970000
29,Chengde,40.951900000000002,117.958800000000000,18.699999999999999,0.0802730,43.9995003,-104.9660034,48.9878998,10223.0000000,319.9909973,39.9966011,1624,317,-1003756.353320000000000,612139.133171000050000
30,Fengrun,39.833300000000001,118.116699999999990,29.800000000000001,0.7981940,72.0298004,-78.7658005,49.0419998,10210.2001953,262.2460022,17.1725998,1705,28,-1007380.875410000000000,487529.738544000020000
31,Langfang,39.509700000000002,116.694700000000000,14.500000000000000,0.3723260,108.8199997,-101.3610001,37.1626015,10219.9003906,318.4960022,20.4822998,1591,17,-1131158.165850000000000,467545.871127000020000
32,Linxi,39.711799999999997,118.449500000000000,30.800000000000001,0.8143630,75.6764984,-74.7367020,49.1983986,10202.7001953,250.5809937,11.7340002,1325,45,-981287.856008999980000,470760.535632000010000
33,Qinhuangdao,39.931699999999999,119.588300000000000,34.500000000000000,0.9137890,64.8729019,-68.3783035,53.3106995,10206.5000000,233.2720032,14.5481997,1092,5,-882836.518334000020000,484099.270024000030000
34,Renqiu,38.698900000000002,116.093600000000000,25.399999999999999,0.8352550,79.1280975,-83.9170990,46.2994003,10226.7998047,262.6279907,13.4617996,1236,8,-1194941.899690000100000,385636.067327000030000
35,Shanhaiguan,40.002499999999998,119.748900000000010,33.399999999999999,1.2868201,59.5570984,-66.7702026,55.0521011,10208.0000000,224.0970001,15.8353004,1385,13,-868465.676281000020000,490461.744507000020000
36,Songling,40.292999999999999,118.269099999999990,25.399999999999999,0.4088680,55.6146011,-86.4124985,50.9085999,10218.4003906,287.6650085,28.5484009,2091,133,-987954.985893000030000,536546.011934999960000
37,Tangjiazhuang,39.743299999999998,118.450999999999990,30.800000000000001,0.8928110,75.2574997,-74.8546982,49.2635994,10203.0996094,250.9160004,12.0468998,1475,68,-980713.979442000040000,474213.854966000010000
38,Tangshan,39.633299999999998,118.183300000000000,31.600000000000001,0.0001000,74.7110977,-75.7671967,49.1656990,10205.9003906,253.4579926,13.5973997,1899,37,-1004726.436020000000000,464829.737559999980000
39,Zhaogezhuang,39.765400000000000,118.411900000000000,30.600000000000001,0.8714300,74.6162033,-75.1489029,49.3362007,10204.0000000,251.7120056,12.6374998,1290,62,-983673.281608000050000,477041.080980000030000
40,Baoying,33.229199999999999,119.309200000000000,69.400000000000006,0.2953740,93.5307999,47.9333000,81.2593994,10229.4003906,255.6139984,20.7649002,1999,6,-988573.759586000000000,-253595.110187999990000
41,City,31.646100000000001,120.742200000000000,54.299999999999997,0.4186610,84.9518967,58.7542992,88.7664032,10251.0000000,202.9459991,25.9293003,1940,10,-872499.590631000000000,-442119.325482000010000
42,Changzhou,31.773599999999998,119.953999999999990,70.700000000000003,0.3235240,99.5373001,68.0671005,86.7360992,10243.5996094,191.1210022,14.3486004,1558,6,-944751.048059999940000,-420697.053299000020000
43,Dazhong,33.199700000000000,120.457800000000010,64.299999999999997,0.3673050,98.1081009,60.5642014,84.3545990,10231.7998047,206.3849945,27.1553001,1846,5,-883704.921225999950000,-267886.083679999980000
44,Dongkan,33.999699999999997,119.830800000000000,60.200000000000003,0.1889260,88.4354019,23.3616009,74.2029037,10223.4003906,262.5889893,19.5536995,2147,5,-932488.776039000020000,-173598.682414999990000
45,Dongtai,32.852300000000000,120.309500000000000,66.500000000000000,0.0594550,102.9980011,85.9448013,92.6164017,10235.0000000,180.0079956,29.9988995,2065,7,-900852.514004000000000,-304929.854866000010000
46,Fengxian,34.703899999999997,116.587200000000000,48.600000000000001,0.1773550,101.2149963,-23.0736008,56.2829018,10233.0996094,62.7324982,19.5680008,2390,38,-1214888.887470000000000,-60132.761206800002000
47,Gaogou,34.017499999999998,119.188599999999990,63.200000000000003,0.0001000,91.3460007,37.5882988,78.2370987,10228.7998047,252.0910034,18.7583008,2953,6,-990489.728597000010000,-165297.027111000000000
48,Gaoyou,32.789299999999997,119.441800000000000,76.099999999999994,0.2533570,97.6493988,53.5381012,81.8506012,10234.9003906,209.0829926,23.0473003,1918,5,-981334.757631000010000,-303511.969546000010000
49,Guiren,33.669699999999999,118.188900000000000,74.599999999999994,0.1452690,94.7792969,28.7374992,73.9395981,10230.2998047,221.7940063,19.1618996,3641,22,-1085240.969070000100000,-193051.539277000000000
50,Haizhou,34.581699999999998,119.128900000000000,61.000000000000000,0.1215560,83.6080017,24.8064003,76.3507004,10236.5996094,99.8785019,10.4645004,1658,10,-989226.309308000030000,-102356.431718000010000
51,Hede,33.772199999999998,120.261799999999990,60.500000000000000,0.3009250,88.0002975,26.0018997,75.2685013,10219.0000000,289.9899902,20.0002995,1910,2,-895742.599091000040000,-202794.145450999990000
