FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
0,Bengbu,32.940800000000003,117.360800000000000,17.500000000000000,0.8636710,114.5459976,-24.3512001,52.7060013,10230.0996094,118.0100021,21.5093994,1581,29,-1169870.111430000000000,-263835.768168999990000
1,Chaohu,31.600000000000001,117.866699999999990,24.800000000000001,1.4212500,121.0989990,-21.1686993,51.9752998,10232.5996094,147.7640076,11.6606998,2117,12,-1140491.590980000100000,-417506.261770999990000
2,Chizhou,30.661300000000001,117.477800000000000,34.100000000000001,1.4591900,150.7270050,-16.1049995,46.7258987,10237.2001953,108.3539963,17.9505997,2512,24,-1188171.732980000100000,-516125.522792999980000
3,Chuzhou,32.321899999999999,118.297800000000000,22.199999999999999,1.0516900,124.4489975,-26.0634003,50.0265007,10235.5996094,212.0769958,15.9783001,2463,22,-1091927.444010000000000,-342913.159963999990000
4,Datong,32.620800000000003,117.063199999999990,19.500000000000000,1.4458400,116.5680008,-19.9638004,53.3377991,10230.5996094,108.4929962,16.8731995,4064,38,-1201264.272750000000000,-295459.811917999990000
5,Gushu,31.560500000000001,118.481500000000000,24.500000000000000,1.7002300,137.4199982,-20.4202995,48.5302010,10239.5000000,328.3030090,10.6049995,2266,13,-1083963.510000000000000,-428871.509500999990000
6,Hefei,31.863900000000001,117.280800000000000,19.600000000000001,1.3349900,109.0459976,-39.6043015,50.2072983,10228.0000000,40.3543015,10.0131998,1942,22,-1191280.157150000100000,-381449.387945000020000
7,Huaibei,33.974400000000003,116.791700000000010,21.300000000000001,0.5745270,109.6490021,-34.8759995,51.2229004,10226.5000000,32.4143982,22.8313007,1781,51,-1207152.385449999900000,-143029.055618999990000
8,Huainan,32.626399999999997,116.996900000000000,20.399999999999999,1.0701801,117.0520020,-19.0035000,53.4669991,10230.7001953,109.0189972,17.0354004,2406,49,-1207239.336679999900000,-294024.184438999980000
9,Chengguanzhen,32.958900000000000,117.165700000000000,21.600000000000001,0.5466260,115.7360001,-22.9379005,52.7821007,10229.9003906,116.6569977,20.8568993,2059,20,-1187384.505679999900000,-259482.908663000010000
10,Huangshan,29.711400000000001,118.312500000000000,26.199999999999999,0.7068880,144.5010071,31.4200001,60.0275993,10234.5996094,169.6119995,11.7192001,1786,134,-1120870.655120000000000,-630393.058920999990000
11,Lucheng,31.233599999999999,117.280600000000010,29.399999999999999,1.2798100,125.5790024,-18.8246002,51.5250015,10232.7998047,99.5320969,13.2393999,2541,13,-1199372.180360000100000,-450789.000339000020000
12,Mingguang,32.780200000000001,117.963800000000010,19.500000000000000,0.8186830,114.5780029,-25.3059006,52.4585991,10232.5000000,138.5200043,23.5277996,3105,15,-1116922.092450000100000,-288607.707440000030000
13,Suixi,33.890700000000002,116.774700000000000,22.000000000000000,1.0135000,111.2210007,-34.0532990,51.0660019,10226.4003906,47.7611008,22.6548996,2383,32,-1209866.933509999900000,-152037.907317000000000
14,Suzhou,33.636099999999999,116.978900000000000,19.199999999999999,1.0075800,112.0039978,-32.0124016,51.3884010,10227.0000000,69.5296021,23.3820992,1797,32,-1195056.577540000000000,-182602.631082000010000
15,Tangzhai,34.432800000000000,116.591100000000000,17.300000000000001,0.9056060,110.5559998,-39.8661003,49.8072014,10225.0996094,47.7857018,22.9978008,2359,46,-1218508.292309999900000,-90041.341666299995000
16,Wuhu,31.337299999999999,118.373500000000010,26.199999999999999,1.6393800,138.9080048,12.3514996,56.2868996,10238.7998047,343.3819885,10.3192997,2243,19,-1096597.235470000000000,-452248.043905999980000
17,Wusong,30.949999999999999,117.783300000000000,38.899999999999999,1.6885000,136.4669952,-5.7120700,52.2573013,10236.2001953,201.2079926,13.8467999,1940,10,-1156151.801010000100000,-488054.893822000010000
18,Xuanzhou,30.952500000000001,118.755300000000010,31.000000000000000,0.7749570,139.2440033,17.8488998,57.6683006,10238.7998047,342.2210083,10.3259001,2539,27,-1065373.004149999900000,-498856.030266000020000
19,Changping,40.216099999999997,116.234700000000000,10.800000000000001,1.3197700,104.7429962,-127.2529984,33.2508011,10184.5996094,178.8110046,38.7811012,1710,66,-1157544.126620000000000,550489.810261999960000
20,Daxing,39.740299999999998,116.326899999999990,9.800000000000001,0.8834170,100.9479980,-118.5410004,35.3335991,10187.2001953,178.8520050,37.1902008,1845,43,-1157973.885300000000000,497188.413638999980000
21,Fangshan,39.686999999999998,115.996600000000000,10.300000000000001,0.9924060,95.7807999,-111.3710022,37.4831009,10188.4003906,178.4539948,33.0409012,1887,44,-1186310.830899999900000,495310.842985000000000
22,Liangxiang,39.735999999999997,116.132900000000010,10.300000000000001,1.5717100,98.3796005,-115.3909988,36.3112984,10187.5000000,178.5879974,35.3825989,1557,47,-1174157.238010000000000,499037.191068999990000
23,Mentougou,39.938200000000002,116.093100000000010,10.699999999999999,1.5633100,101.5719986,-121.6129990,34.6960983,10185.2998047,178.4199982,36.8689003,1723,112,-1173999.292440000000000,521701.226581000020000
24,Shunyi,40.121699999999997,116.647800000000000,7.600000000000000,0.7017030,108.9120026,-131.8020020,31.8971004,10185.0000000,180.0039978,39.9860992,1882,44,-1125010.669530000100000,535295.539415000010000
25,Tongzhou,39.904000000000003,116.661800000000000,8.100000000000000,1.1936500,107.5839996,-129.1739960,32.5149002,10185.2998047,179.9609985,39.6767998,1494,29,-1127442.935570000000000,511234.221848000020000
26,Botou,38.066699999999997,116.566599999999990,9.199999999999999,1.1144500,99.9972992,-68.0040970,45.5600014,10209.0000000,139.9989929,39.9980011,1170,18,-1165198.846739999900000,310403.507886999990000
27,Cangzhou,38.316699999999997,116.866699999999990,8.000000000000000,1.4179699,95.2082977,-72.2750015,45.5890007,10208.0996094,141.6380005,37.0116997,1188,11,-1135726.174420000100000,334368.377554000010000
28,Changli,39.704200000000000,119.150600000000000,8.100000000000000,1.0673800,49.7859993,-66.6102982,57.6227989,10210.0996094,200.3979950,30.7392998,1069,18,-922563.686736000000000,463076.551549999970000
29,Chengde,40.951900000000002,117.958800000000000,7.600000000000000,1.0938500,74.9851990,-211.7100067,24.6193008,10179.0000000,180.0050049,39.9963989,1624,317,-1003756.353320000000000,612139.133171000050000
30,Fengrun,39.833300000000001,118.116699999999990,11.600000000000000,0.7746160,57.2037010,-113.0400009,44.2839012,10202.9003906,199.5950012,30.1758995,1705,28,-1007380.875410000000000,487529.738544000020000
31,Langfang,39.509700000000002,116.694700000000000,10.100000000000000,1.5311700,85.1102982,-98.7406006,41.8806000,10195.2998047,171.4420013,33.0387993,1591,17,-1131158.165850000000000,467545.871127000020000
32,Linxi,39.711799999999997,118.449500000000000,12.400000000000000,1.0341300,55.6077995,-98.5470963,47.9466019,10204.5996094,199.4259949,30.3829002,1325,45,-981287.856008999980000,470760.535632000010000
33,Qinhuangdao,39.931699999999999,119.588300000000000,6.300000000000000,1.2077200,51.5550995,-117.2289963,44.5047989,10203.0996094,202.7649994,32.6818008,1092,5,-882836.518334000020000,484099.270024000030000
34,Renqiu,38.698900000000002,116.093600000000000,10.500000000000000,0.8610950,100.1090012,-75.7270966,43.8492012,10198.9003906,147.0119934,25.8111992,1236,8,-1194941.899690000100000,385636.067327000030000
35,Shanhaiguan,40.002499999999998,119.748900000000010,6.400000000000000,0.9236860,50.5479012,-121.0599976,43.8606987,10201.7998047,201.2819977,32.1324997,1385,13,-868465.676281000020000,490461.744507000020000
36,Songling,40.292999999999999,118.269099999999990,9.100000000000000,1.2008300,59.9812012,-152.7610016,35.7795982,10196.9003906,201.7559967,36.0637016,2091,133,-987954.985893000030000,536546.011934999960000
37,Tangjiazhuang,39.743299999999998,118.450999999999990,12.100000000000000,0.6001260,55.7448997,-100.4319992,47.4701996,10204.4003906,199.4709930,30.4736004,1475,68,-980713.979442000040000,474213.854966000010000
38,Tangshan,39.633299999999998,118.183300000000000,15.000000000000000,0.5111560,57.0022011,-113.4960022,44.2238007,10203.0000000,199.9629974,30.0077000,1899,37,-1004726.436020000000000,464829.737559999980000
39,Zhaogezhuang,39.765400000000000,118.411900000000000,12.000000000000000,0.7451140,56.2641983,-104.6790009,46.3683014,10203.7998047,199.5099945,30.4452991,1290,62,-983673.281608000050000,477041.080980000030000
40,Baoying,33.229199999999999,119.309200000000000,21.800000000000001,0.6538550,107.2409973,-24.4162006,54.4351006,10238.7998047,101.3690033,41.5134010,1999,6,-988573.759586000000000,-253595.110187999990000
41,City,31.646100000000001,120.742200000000000,54.399999999999999,1.8384900,110.9219971,2.3745501,60.8008995,10244.7998047,94.3733978,30.8129997,1940,10,-872499.590631000000000,-442119.325482000010000
42,Changzhou,31.773599999999998,119.953999999999990,29.300000000000001,1.4725800,125.1129990,-14.7280998,52.6472015,10237.9003906,85.2154007,21.4904995,1558,6,-944751.048059999940000,-420697.053299000020000
43,Dazhong,33.199700000000000,120.457800000000010,25.399999999999999,0.9683710,88.5196991,-13.1092997,62.4832001,10245.9003906,77.8973007,21.6655006,1846,5,-883704.921225999950000,-267886.083679999980000
44,Dongkan,33.999699999999997,119.830800000000000,24.300000000000001,1.0808600,95.9238968,-32.0754013,55.2075996,10235.0996094,108.3870010,37.6884003,2147,5,-932488.776039000020000,-173598.682414999990000
45,Dongtai,32.852300000000000,120.309500000000000,24.500000000000000,0.9825560,87.0018005,-10.0056000,63.8456001,10248.0000000,70.0064011,20.0011005,2065,7,-900852.514004000000000,-304929.854866000010000
46,Fengxian,34.703899999999997,116.587200000000000,15.699999999999999,0.5248290,111.9140015,-46.8778000,47.8610992,10222.4003906,85.2514038,22.9351006,2390,38,-1214888.887470000000000,-60132.761206800002000
47,Gaogou,34.017499999999998,119.188599999999990,22.500000000000000,0.9742620,106.4130020,-28.7485008,53.5172997,10238.2001953,97.1251984,44.9051018,2953,6,-990489.728597000010000,-165297.027111000000000
48,Gaoyou,32.789299999999997,119.441800000000000,18.100000000000001,0.9738950,102.6340027,-19.4423008,56.9025993,10240.4003906,117.8580017,26.0911007,1918,5,-981334.757631000010000,-303511.969546000010000
49,Guiren,33.669699999999999,118.188900000000000,26.100000000000001,0.5546660,108.4469986,-31.4566002,52.3498993,10235.0000000,97.2400970,41.3390007,3641,22,-1085240.969070000100000,-193051.539277000000000
50,Haizhou,34.581699999999998,119.128900000000000,20.399999999999999,0.4220040,90.9175034,-8.7733698,63.0952988,10241.0996094,108.8420029,30.8973999,1658,10,-989226.309308000030000,-102356.431718000010000
51,Hede,33.772199999999998,120.261799999999990,26.399999999999999,1.0202800,92.0375977,-27.5466003,57.4126015,10235.5000000,109.9039993,31.9724998,1910,2,-895742.599091000040000,-202794.145450999990000
52,Huai'an,33.588600000000000,119.019200000000000,26.899999999999999,1.1909000,111.9680023,-25.0715008,53.1319008,10240.0000000,90.0772018,49.9552994,1675,14,-1010874.062350000000000,-210930.864777000010000
53,Huilong,31.811100000000000,121.655000000000000,49.399999999999999,1.7543401,98.8141022,18.3083000,69.1669006,10248.2001953,48.6463013,38.0462990,2101,7,-785715.497665000030000,-431654.741331000000000
