FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
0,Bengbu,32.940800000000003,117.360800000000000,17.500000000000000,0.4973600,142.6159973,17.0594997,56.6101990,10198.0996094,142.4790039,17.9841003,1581,29,-1169870.111430000000000,-263835.768168999990000
1,Chaohu,31.600000000000001,117.866699999999990,24.899999999999999,0.9595550,151.5279999,22.7017002,55.8944016,10199.9003906,130.1459961,16.4402008,2117,12,-1140491.590980000100000,-417506.261770999990000
2,Chizhou,30.661300000000001,117.477800000000000,34.100000000000001,1.1425000,161.3489990,36.5642014,57.1115990,10210.7998047,159.5420074,11.3233995,2512,24,-1188171.732980000100000,-516125.522792999980000
3,Chuzhou,32.321899999999999,118.297800000000000,22.199999999999999,1.1473401,152.2729950,18.6669998,54.6736984,10203.5000000,107.8209991,14.4629002,2463,22,-1091927.444010000000000,-342913.159963999990000
4,Datong,32.620800000000003,117.063199999999990,19.500000000000000,0.8451000,144.8450012,21.6366997,57.2700996,10198.0000000,137.3639984,18.4078999,4064,38,-1201264.272750000000000,-295459.811917999990000
5,Gushu,31.560500000000001,118.481500000000000,24.500000000000000,1.6653800,166.9720001,19.0139008,51.3652000,10205.7998047,122.3550034,10.5733995,2266,13,-1083963.510000000000000,-428871.509500999990000
6,Hefei,31.863900000000001,117.280800000000000,19.600000000000001,1.2571599,143.0160065,19.0874996,57.0489998,10194.0000000,110.0149994,19.9911995,1942,22,-1191280.157150000100000,-381449.387945000020000
7,Huaibei,33.974400000000003,116.791700000000010,21.300000000000001,0.9103860,142.8439941,7.8386698,54.1622009,10191.5996094,49.7067986,15.0188999,1781,51,-1207152.385449999900000,-143029.055618999990000
8,Huainan,32.626399999999997,116.996900000000000,20.399999999999999,1.3475100,145.1569977,22.2546005,57.3568001,10197.9003906,139.5019989,18.4279003,2406,49,-1207239.336679999900000,-294024.184438999980000
9,Chengguanzhen,32.958900000000000,117.165700000000000,21.600000000000001,1.7883800,143.4830017,18.3006001,56.7232018,10197.5000000,146.5670013,17.9438000,2059,20,-1187384.505679999900000,-259482.908663000010000
10,Huangshan,29.711400000000001,118.312500000000000,26.199999999999999,1.1607300,159.0760040,50.6086998,61.5404015,10217.7001953,200.6880035,18.8931007,1786,134,-1120870.655120000000000,-630393.058920999990000
11,Lucheng,31.233599999999999,117.280600000000010,29.399999999999999,1.2185301,149.7230072,27.6858997,57.6603012,10201.7998047,121.1179962,16.2695999,2541,13,-1199372.180360000100000,-450789.000339000020000
12,Mingguang,32.780200000000001,117.963800000000010,19.500000000000000,1.3950200,142.5240021,17.5930004,56.7746010,10200.2001953,138.9510040,17.5303001,3105,15,-1116922.092450000100000,-288607.707440000030000
13,Suixi,33.890700000000002,116.774700000000000,22.000000000000000,0.9863860,143.0269928,9.0137901,54.4182014,10191.9003906,74.8168030,14.9505997,2383,32,-1209866.933509999900000,-152037.907317000000000
14,Suzhou,33.636099999999999,116.978900000000000,19.199999999999999,1.2331100,142.6040039,10.2209997,54.8289986,10193.2001953,101.5599976,16.3498993,1797,32,-1195056.577540000000000,-182602.631082000010000
15,Tangzhai,34.432800000000000,116.591100000000000,17.300000000000001,0.8200010,141.8200073,0.9279230,52.6660995,10191.5000000,61.5824013,14.4405003,2359,46,-1218508.292309999900000,-90041.341666299995000
16,Wuhu,31.337299999999999,118.373500000000010,26.199999999999999,0.8797450,173.3480072,28.3423004,52.1845016,10204.2998047,241.3450012,10.3217001,2243,19,-1096597.235470000000000,-452248.043905999980000
17,Wusong,30.949999999999999,117.783300000000000,38.899999999999999,1.5982600,160.0690002,30.8157005,55.9207001,10206.4003906,174.1999969,12.8765001,1940,10,-1156151.801010000100000,-488054.893822000010000
18,Xuanzhou,30.952500000000001,118.755300000000010,31.100000000000001,1.3980500,173.9270020,30.4913006,52.5764008,10204.4003906,251.5769958,10.2532997,2539,27,-1065373.004149999900000,-498856.030266000020000
19,Changping,40.216099999999997,116.234700000000000,10.900000000000000,1.4735000,131.3630066,-85.7836990,36.3148994,10203.2001953,105.5569992,16.0200005,1710,66,-1157544.126620000000000,550489.810261999960000
20,Daxing,39.740299999999998,116.326899999999990,9.800000000000001,0.7687790,128.0249939,-76.5520020,38.5654984,10203.4003906,106.1230011,16.1945000,1845,43,-1157973.885300000000000,497188.413638999980000
21,Fangshan,39.686999999999998,115.996600000000000,10.300000000000001,0.7748040,118.6569977,-74.5824966,40.5910988,10207.5000000,144.9709930,23.8414001,1887,44,-1186310.830899999900000,495310.842985000000000
22,Liangxiang,39.735999999999997,116.132900000000010,10.300000000000001,1.4436600,123.3389969,-76.0391006,39.4734993,10205.5000000,127.5510025,20.2429008,1557,47,-1174157.238010000000000,499037.191068999990000
23,Mentougou,39.938200000000002,116.093100000000010,10.699999999999999,0.4925180,126.7429962,-82.2492981,37.7149010,10205.0996094,126.4440002,20.1270008,1723,112,-1173999.292440000000000,521701.226581000020000
24,Shunyi,40.121699999999997,116.647800000000000,7.600000000000000,1.4784600,137.8780060,-87.7854996,34.9398994,10200.0000000,70.4204025,10.0551004,1882,44,-1125010.669530000100000,535295.539415000010000
25,Tongzhou,39.904000000000003,116.661800000000000,8.100000000000000,1.5350000,136.2910004,-85.0123978,35.6692009,10200.5996094,75.6397018,10.8357000,1494,29,-1127442.935570000000000,511234.221848000020000
26,Botou,38.066699999999997,116.566599999999990,9.199999999999999,0.6746220,123.9980011,-37.9921989,47.3413010,10201.0000000,110.0009995,20.0004005,1170,18,-1165198.846739999900000,310403.507886999990000
27,Cangzhou,38.316699999999997,116.866699999999990,8.000000000000000,0.7640680,121.4380035,-36.6487007,48.1921005,10201.2001953,114.4100037,20.6963005,1188,11,-1135726.174420000100000,334368.377554000010000
28,Changli,39.704200000000000,119.150600000000000,8.100000000000000,1.2525200,79.3041000,-65.9386978,50.5219994,10213.7001953,141.4049988,13.9623003,1069,18,-922563.686736000000000,463076.551549999970000
