FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
0,Bengbu,32.940800000000003,117.360800000000000,17.500000000000000,0.0693625,87.8699036,-16.0667000,61.7924995,10236.7998047,134.0780029,20.6727009,1581,29,-1169870.111430000000000,-263835.768168999990000
1,Chaohu,31.600000000000001,117.866699999999990,24.800000000000001,0.0001000,96.0326996,1.8561100,64.8341980,10246.2001953,71.3102036,13.4497004,2117,12,-1140491.590980000100000,-417506.261770999990000
2,Chizhou,30.661300000000001,117.477800000000000,34.100000000000001,0.5676850,126.2720032,17.4887009,60.9640007,10244.0996094,53.7162018,10.6099997,2512,24,-1188171.732980000100000,-516125.522792999980000
3,Chuzhou,32.321899999999999,118.297800000000000,22.199999999999999,1.0578700,90.6561966,-9.4928904,62.9547005,10246.5000000,66.0400009,16.0063000,2463,22,-1091927.444010000000000,-342913.159963999990000
4,Datong,32.620800000000003,117.063199999999990,19.500000000000000,0.0001000,89.0475998,-6.6981802,64.2574997,10238.2001953,136.6040039,18.8059006,4064,38,-1201264.272750000000000,-295459.811917999990000
5,Gushu,31.560500000000001,118.481500000000000,24.500000000000000,0.3733920,94.6636963,-12.2080002,61.0382996,10250.2998047,26.7148991,10.6391001,2266,13,-1083963.510000000000000,-428871.509500999990000
6,Hefei,31.863900000000001,117.280800000000000,19.600000000000001,0.1419400,90.6408997,6.7686100,67.9798965,10243.5000000,117.0989990,14.0752001,1942,22,-1191280.157150000100000,-381449.387945000020000
7,Huaibei,33.974400000000003,116.791700000000010,21.300000000000001,0.0377813,88.4832993,-37.5138016,55.6179008,10229.4003906,142.1940002,12.3823996,1781,51,-1207152.385449999900000,-143029.055618999990000
8,Huainan,32.626399999999997,116.996900000000000,20.399999999999999,0.0485809,89.1760025,-6.1293998,64.3933029,10238.0000000,138.7270050,18.7616005,2406,49,-1207239.336679999900000,-294024.184438999980000
9,Chengguanzhen,32.958900000000000,117.165700000000000,21.600000000000001,0.0645500,89.2586975,-15.2308998,61.6510010,10236.0996094,138.9320068,19.9864006,2059,20,-1187384.505679999900000,-259482.908663000010000
10,Huangshan,29.711400000000001,118.312500000000000,26.199999999999999,0.7092200,116.5490036,59.9905014,77.4772034,10250.4003906,174.6719971,11.0447998,1786,134,-1120870.655120000000000,-630393.058920999990000
11,Lucheng,31.233599999999999,117.280600000000010,29.399999999999999,0.3159200,108.0869980,14.7786999,65.2675018,10244.4003906,87.3669968,11.5120001,2541,13,-1199372.180360000100000,-450789.000339000020000
